2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-core/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-coloc/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-corba/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-soap/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-xml/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-databinding-aegis/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-databinding-jaxb/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-features-clustering/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-features-logging/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-features-metrics/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-features-throttling/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-frontend-jaxrs/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-frontend-jaxws/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-frontend-js/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-frontend-simple/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-javascript/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-management/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-rs-client/3.3.4
